#type:		unclassified
#specification:	Pictish (pic)
#scriptcode:	Latn
#source:	http://outreach.mathstat.strath.ac.uk/outreach/pictish/database.php (last access: 28.03.2019)
#encoding:	utf-8
#copyright:	NA
#comments:	The notation relies on: Mack, A. (1997). Field guide to the Pictish symbol stones. Pinkfoot Press. An overview of the most common symbols with a similar notation can be found in the appended document "Talorgain". Each line represents a different stone (sorted by their name in the database). '?' indicates unclear readings. Entries that were no smybol stones or pictish have been removed.

<stone_1>	serpent double-disc+Z mirror comb
<stone_2>	divided-rectangle+Z triple-disc
<stone_3>	crescent+V double-disc+Z
<stone_4>	crescent? elephant?
<stone_5>	horseshoe elephant
<stone_6>	tuning-fork crescent+V hammer anvil
<stone_7>	salmon rectangle
<stone_8>	rectangle
<stone_9>	crescent+V mirror-case
<stone_10>	double-disc+Z
<stone_11>	double-disc+Z fish-monster sword
<stone_12>	disc step
<stone_13>	elephant tuning-fork mirror
<stone_14>	wolf
<stone_15>	deer's-head
<stone_16>	mirror-case divided-rectangle+Z
<stone_17>	crescent+V divided-rectangle+Z
<stone_18>	elephant serpent+Z
<stone_19>	disc
<stone_20>	rectangle disc
<stone_21>	eagle divided-rectangle+Z
<stone_22>	elephant comb
<stone_23>	crescent+V double-disc+Z mirror comb
<stone_24>	crescent+V serpent+Z
<stone_25>	crescent rectangle
<stone_26>	elephant double-disc+Z
<stone_27>	mirror-case crescent+V elephant eagle
<stone_28>	horseshoe elephant
<stone_29>	bull
<stone_30>	bull
<stone_31>	bull
<stone_32>	bull
<stone_33>	bull
<stone_34>	bull
<stone_35>	eagle crescent+V mirror
<stone_36>	rectangle
<stone_37>	triple-disc double-disc+Z mirror
<stone_38>	double-disc+Z
<stone_39>	horseshoe elephant
<stone_40>	boar
<stone_41>	crescent+V rectangle
<stone_42>	rectangle crescent+V mirror
<stone_43>	horseshoe crescent+V mirror
<stone_44>	divided-rectangle+Z mirror comb
<stone_45>	tuning-fork elephant mirror comb
<stone_46>	horseshoe elephant
<stone_47>	double-disc+Z helmet
<stone_48>	crescent+V double-disc+Z
<stone_49>	divided-rectangle serpent
<stone_50>	divided-rectangle crescent+V flower
<stone_51>	elephant crescent+V
<stone_52>	crescent+V horseshoe
<stone_53>	divided-rectangle+Z horseshoe mirror comb
<stone_54>	crescent+V crescent mirror comb
<stone_55>	double-disc+Z crescent+V crescent+V disc crescent+V
<stone_56>	crescent+V
<stone_57>	mirror comb
<stone_58>	horseshoe ogee mirror comb
<stone_59>	serpent+Z double-disc
<stone_60>	salmon mirror-case mirror comb
<stone_61>	divided-rectangle+Z elephant mirror comb
<stone_62>	crescent+V disc
<stone_63>	deer's-head
<stone_64>	boar
<stone_65>	elephant double-disc crescent+V crescent+V elephant hammer anvil pincers
<stone_66>	double-disc+Z
<stone_67>	salmon
<stone_68>	crescent
<stone_69>	double-disc+Z mirror comb flower
<stone_70>	twin-disc
<stone_71>	flower double-disc+Z mirror comb
<stone_72>	salmon tuning-fork mirror comb
<stone_73>	2-cres serpent+Z mirror comb
<stone_74>	elephant double-disc+Z
<stone_75>	crescent+V triple-disc mirror-case double-disc+Z
<stone_76>	elephant double-disc+Z horseshoe elephant
<stone_77>	disc
<stone_78>	bull
<stone_79>	horseshoe crescent+V mirror comb goose salmon
<stone_80>	salmon double-disc+Z
<stone_81>	crescent+V mirror comb
<stone_82>	double-disc+Z crescent+V
<stone_83>	mirror-case triple-disc
<stone_84>	divided-rectangle+Z crescent+V
<stone_85>	rectangle crescent+V
<stone_86>	double-disc+Z crescent+V
<stone_87>	double-disc+Z
<stone_88>	mirror
<stone_89>	crescent+V
<stone_90>	double-disc double-disc+Z crescent+V eagle
<stone_91>	crescent+V elephant mirror
<stone_92>	double-disc+Z eagle
<stone_93>	eagle salmon
<stone_94>	crescent+V
<stone_95>	serpent+Z flower
<stone_96>	crescent+V elephant
