num.char,hidden.structure,hidden.size,hidden.depth,err.fct,act.fct.name,algorithm,accuracy,precision,recall,f1
100,"1,4,5,3",13,4,sse,softplus,rprop+,0.8,0.81,0.76,0.78
100,1,1,1,sse,softplus,rprop+,0.8,0.8,0.77,0.78
100,"1,2,3,2",8,4,sse,softplus,rprop+,0.81,0.83,0.76,0.79
100,2,2,1,sse,softplus,rprop+,0.81,0.84,0.75,0.79
100,"1,4",5,2,sse,softplus,rprop+,0.81,0.82,0.76,0.79
100,1,1,1,sse,softplus,rprop+,0.82,0.85,0.75,0.8
100,"1,4",5,2,sse,softplus,rprop+,0.81,0.84,0.75,0.8
100,"1,4,1",6,3,sse,softplus,rprop+,0.82,0.85,0.76,0.8
100,"1,2,3,2",8,4,sse,softplus,rprop+,0.82,0.85,0.75,0.8
100,"1,4",5,2,sse,softplus,rprop+,0.85,0.87,0.81,0.84
100,"1,1",2,2,sse,softplus,rprop+,0.85,0.88,0.8,0.84
100,"1,1,4",6,3,sse,softplus,rprop+,0.85,0.87,0.81,0.84
100,"1,4,1",6,3,sse,softplus,rprop+,0.85,0.87,0.81,0.84
100,"1,2,5",8,3,sse,softplus,rprop+,0.85,0.88,0.8,0.84
100,"2,3,2",7,3,sse,softplus,rprop+,0.86,0.89,0.82,0.85
100,"1,4,2,3",10,4,sse,softplus,rprop+,0.87,0.84,0.9,0.87
100,"1,1,2",4,3,sse,softplus,rprop+,0.87,0.84,0.9,0.87
100,"1,5,2",8,3,sse,softplus,rprop+,0.87,0.84,0.9,0.87
100,"1,4",5,2,sse,softplus,rprop+,0.87,0.84,0.9,0.87
100,"1,4,1",6,3,sse,softplus,rprop+,0.87,0.84,0.9,0.87
100,"1,1,3",5,3,sse,softplus,rprop+,0.87,0.84,0.9,0.87
100,2,2,1,sse,softplus,rprop+,0.88,0.87,0.89,0.88
100,"2,1",3,2,sse,softplus,rprop+,0.89,0.87,0.89,0.88
100,2,2,1,sse,softplus,rprop+,0.88,0.87,0.89,0.88
100,"2,4,4",10,3,sse,softplus,rprop+,0.89,0.89,0.88,0.88
100,"2,2",4,2,sse,softplus,rprop+,0.88,0.87,0.89,0.88
100,"2,2,2",6,3,sse,softplus,rprop+,0.89,0.88,0.89,0.88
100,2,2,1,sse,softplus,rprop+,0.88,0.87,0.89,0.88
100,"3,2",5,2,sse,softplus,rprop+,0.89,0.88,0.9,0.89
100,4,4,1,sse,softplus,rprop+,0.9,0.89,0.9,0.89
100,"2,3,1",6,3,sse,softplus,rprop+,0.9,0.89,0.9,0.89
100,"4,1",5,2,sse,softplus,rprop+,0.89,0.89,0.89,0.89
100,"4,2",6,2,sse,softplus,rprop+,0.89,0.88,0.89,0.89
100,3,3,1,sse,softplus,rprop+,0.89,0.88,0.9,0.89
100,"2,2,2",6,3,sse,softplus,rprop+,0.89,0.88,0.9,0.89
100,"3,2",5,2,sse,softplus,rprop+,0.9,0.89,0.9,0.89
100,"2,2",4,2,sse,softplus,rprop+,0.9,0.89,0.89,0.89
100,"3,1",4,2,sse,softplus,rprop+,0.9,0.89,0.9,0.9
100,"2,3",5,2,sse,softplus,rprop+,0.9,0.89,0.91,0.9
100,4,4,1,sse,softplus,rprop+,0.9,0.89,0.9,0.9
100,"2,4",6,2,sse,softplus,rprop+,0.9,0.89,0.9,0.9
100,"2,2,3",7,3,sse,softplus,rprop+,0.9,0.9,0.89,0.9
100,"2,1,3,2",8,4,sse,softplus,rprop+,0.9,0.89,0.9,0.9
100,"3,2,4",9,3,sse,softplus,rprop+,0.9,0.89,0.9,0.9
100,"2,4",6,2,sse,softplus,rprop+,0.9,0.89,0.9,0.9
100,"2,3",5,2,sse,softplus,rprop+,0.9,0.9,0.89,0.9
100,"2,3,1",6,3,sse,softplus,rprop+,0.9,0.9,0.9,0.9
100,"2,4,3",9,3,sse,softplus,rprop+,0.9,0.9,0.9,0.9
100,"2,4,4",10,3,sse,softplus,rprop+,0.91,0.89,0.92,0.9
100,"2,3",5,2,sse,softplus,rprop+,0.9,0.9,0.9,0.9
100,"4,2",6,2,sse,softplus,rprop+,0.92,0.91,0.92,0.91
100,"3,3",6,2,sse,softplus,rprop+,0.91,0.91,0.91,0.91
100,"2,2,4",8,3,sse,softplus,rprop+,0.91,0.9,0.91,0.91
100,"2,3",5,2,sse,softplus,rprop+,0.91,0.9,0.91,0.91
100,"3,5",8,2,sse,softplus,rprop+,0.92,0.91,0.92,0.91
100,5,5,1,sse,softplus,rprop+,0.91,0.9,0.92,0.91
100,"3,1,4",8,3,sse,softplus,rprop+,0.91,0.9,0.92,0.91
100,"3,3,3",9,3,sse,softplus,rprop+,0.91,0.9,0.93,0.91
100,"3,2",5,2,sse,softplus,rprop+,0.92,0.91,0.92,0.92
100,"3,5",8,2,sse,softplus,rprop+,0.92,0.93,0.91,0.92
100,"5,4,4",13,3,sse,softplus,rprop+,0.93,0.94,0.91,0.92
100,"3,2,4",9,3,sse,softplus,rprop+,0.93,0.94,0.9,0.92
100,"5,2",7,2,sse,softplus,rprop+,0.93,0.93,0.91,0.92
100,"3,3,2",8,3,sse,softplus,rprop+,0.92,0.93,0.9,0.92
100,"3,5",8,2,sse,softplus,rprop+,0.92,0.93,0.9,0.92
100,"3,4",7,2,sse,softplus,rprop+,0.92,0.93,0.91,0.92
100,"5,2",7,2,sse,softplus,rprop+,0.94,0.95,0.92,0.93
100,"4,1",5,2,sse,softplus,rprop+,0.93,0.96,0.9,0.93
100,"5,4,3",12,3,sse,softplus,rprop+,0.93,0.93,0.92,0.93
100,"3,1,1,3",8,4,sse,softplus,rprop+,0.93,0.94,0.92,0.93
100,"3,4,4",11,3,sse,softplus,rprop+,0.94,0.95,0.91,0.93
100,5,5,1,sse,softplus,rprop+,0.93,0.92,0.94,0.93
100,"5,3",8,2,sse,softplus,rprop+,0.94,0.94,0.93,0.94
