num.char,hidden.structure,hidden.size,hidden.depth,err.fct,act.fct.name,algorithm,accuracy,precision,recall,f1
10,"2,2,1,2",7,4,ce,logistic,rprop+,0.7,0.72,0.72,0.72
10,"4,2",6,2,ce,logistic,rprop+,0.72,0.77,0.68,0.72
10,"2,1,1,1",5,4,ce,logistic,rprop+,0.72,0.76,0.69,0.72
10,"2,2",4,2,ce,logistic,rprop+,0.7,0.71,0.72,0.72
10,"3,4",7,2,ce,logistic,rprop+,0.72,0.77,0.67,0.72
10,"2,1,1,5",9,4,ce,logistic,rprop+,0.71,0.75,0.69,0.72
10,"1,2",3,2,ce,logistic,rprop+,0.71,0.75,0.68,0.72
10,"1,1,4,3",9,4,ce,logistic,rprop+,0.71,0.75,0.68,0.72
10,5,5,1,ce,logistic,rprop+,0.71,0.73,0.71,0.72
10,"1,2,1",4,3,ce,logistic,rprop+,0.71,0.75,0.68,0.72
10,"1,1",2,2,ce,logistic,rprop+,0.71,0.75,0.68,0.72
10,"4,3",7,2,ce,logistic,rprop+,0.7,0.72,0.73,0.72
10,"3,2",5,2,ce,logistic,rprop+,0.7,0.72,0.71,0.72
10,"2,1",3,2,ce,logistic,rprop+,0.72,0.76,0.69,0.72
10,4,4,1,ce,logistic,rprop+,0.71,0.76,0.68,0.72
10,"5,2",7,2,ce,logistic,rprop+,0.72,0.77,0.67,0.72
10,1,1,1,ce,logistic,rprop+,0.71,0.76,0.68,0.72
10,"5,1",6,2,ce,logistic,rprop+,0.7,0.71,0.73,0.72
10,"1,3,3",7,3,ce,logistic,rprop+,0.71,0.75,0.68,0.72
10,"3,1,1",5,3,ce,logistic,rprop+,0.7,0.75,0.68,0.71
10,"2,1",3,2,ce,logistic,rprop+,0.7,0.74,0.68,0.71
10,"3,2",5,2,ce,logistic,rprop+,0.72,0.78,0.65,0.71
10,1,1,1,ce,logistic,rprop+,0.71,0.75,0.68,0.71
10,2,2,1,ce,logistic,rprop+,0.7,0.74,0.68,0.71
10,"5,2,1",8,3,ce,logistic,rprop+,0.73,0.81,0.63,0.71
10,"5,1,4",10,3,ce,logistic,rprop+,0.71,0.74,0.69,0.71
10,4,4,1,ce,logistic,rprop+,0.72,0.8,0.63,0.71
10,2,2,1,ce,logistic,rprop+,0.7,0.74,0.68,0.71
10,4,4,1,ce,logistic,rprop+,0.71,0.75,0.69,0.71
10,"1,2,2",5,3,ce,logistic,rprop+,0.7,0.73,0.69,0.71
10,2,2,1,ce,logistic,rprop+,0.7,0.74,0.68,0.71
10,"2,1",3,2,ce,logistic,rprop+,0.7,0.75,0.68,0.71
10,"1,2,3,2",8,4,ce,logistic,rprop+,0.72,0.79,0.64,0.71
10,3,3,1,ce,logistic,rprop+,0.72,0.79,0.63,0.7
10,3,3,1,ce,logistic,rprop+,0.72,0.79,0.63,0.7
10,3,3,1,ce,logistic,rprop+,0.7,0.75,0.66,0.7
10,3,3,1,ce,logistic,rprop+,0.7,0.75,0.66,0.7
10,"4,1",5,2,ce,logistic,rprop+,0.69,0.73,0.67,0.7
