num.char,hidden.structure,hidden.size,hidden.depth,err.fct,act.fct.name,algorithm,accuracy,precision,recall,f1
10,"2,1,1,1",5,4,ce,relu,rprop+,0.7,0.73,0.71,0.72
10,"1,2",3,2,ce,relu,rprop+,0.71,0.76,0.68,0.72
10,"1,2,2",5,3,ce,relu,rprop+,0.7,0.73,0.7,0.72
10,"2,1",3,2,ce,relu,rprop+,0.7,0.72,0.71,0.72
10,"3,2",5,2,ce,relu,rprop+,0.71,0.75,0.68,0.71
10,2,2,1,ce,relu,rprop+,0.71,0.78,0.65,0.71
10,"1,2",3,2,ce,relu,rprop+,0.7,0.73,0.7,0.71
10,"1,2,1",4,3,ce,relu,rprop+,0.7,0.74,0.68,0.71
10,"1,1",2,2,ce,relu,rprop+,0.71,0.75,0.68,0.71
10,"2,2",4,2,ce,relu,rprop+,0.7,0.73,0.7,0.71
10,"2,1",3,2,ce,relu,rprop+,0.73,0.84,0.6,0.7
