"num.char","hidden.structure","hidden.size","hidden.depth","err.fct","act.fct.name","algorithm","accuracy","precision","recall","f1"
10,"3,1",4,2,"sse","softplus","backprop",0.51,0.51,1,0.67
10,"2,4",6,2,"sse","softplus","backprop",0.51,0.51,1,0.67
10,"3,2",5,2,"sse","softplus","backprop",0.51,0.51,1,0.67
10,"4,3,1,4",12,4,"sse","softplus","backprop",0.51,0.51,1,0.67
10,"5,2",7,2,"sse","softplus","backprop",0.51,0.51,1,0.67
10,"3,4,2",9,3,"sse","softplus","backprop",0.51,0.51,1,0.67
10,"2,4",6,2,"sse","softplus","backprop",0.51,0.51,1,0.67
10,"4,2,4",10,3,"sse","softplus","backprop",0.51,0.51,1,0.67
10,"2,3,1",6,3,"sse","softplus","backprop",0.51,0.51,1,0.67
10,"1,2,3,2",8,4,"sse","softplus","backprop",0.51,0.51,1,0.67
10,"4,3,5",12,3,"sse","softplus","backprop",0.51,0.51,1,0.67
10,"2",2,1,"sse","softplus","backprop",0.51,0.51,1,0.67
10,"1,1",2,2,"sse","softplus","backprop",0.51,0.51,1,0.67
10,"2,1",3,2,"sse","softplus","backprop",0.51,0.51,1,0.67
10,"3,2,1",6,3,"sse","softplus","backprop",0.51,0.51,1,0.67
10,"2",2,1,"sse","softplus","backprop",0.51,0.51,1,0.67
10,"2,2",4,2,"sse","softplus","backprop",0.51,0.51,1,0.67
10,"4,1",5,2,"sse","softplus","backprop",0.51,0.51,1,0.67
10,"4,2,4",10,3,"sse","softplus","backprop",0.51,0.51,1,0.67
10,"3,1,2,2",8,4,"sse","softplus","backprop",0.51,0.51,1,0.67
10,"1,1,2",4,3,"sse","softplus","backprop",0.51,0.51,1,0.67
10,"1,4,1",6,3,"sse","softplus","backprop",0.51,0.51,1,0.67
10,"3",3,1,"sse","softplus","backprop",0.51,0.51,1,0.67
10,"5",5,1,"sse","softplus","backprop",0.51,0.51,1,0.67
10,"1,4,1",6,3,"sse","softplus","backprop",0.51,0.51,1,0.67
10,"3,3,2",8,3,"sse","softplus","backprop",0.51,0.51,1,0.67
10,"2,4",6,2,"sse","softplus","backprop",0.51,0.51,1,0.67
10,"2,2,2",6,3,"sse","softplus","backprop",0.51,0.51,1,0.67
10,"1,2,3,2",8,4,"sse","softplus","backprop",0.51,0.51,1,0.67
10,"2,3,1",6,3,"sse","softplus","backprop",0.51,0.51,1,0.67
10,"2,2",4,2,"sse","softplus","backprop",0.51,0.51,1,0.67
10,"1,4,1",6,3,"sse","softplus","backprop",0.51,0.51,1,0.67
10,"3,4",7,2,"sse","softplus","backprop",0.51,0.51,1,0.67
10,"1,2,5",8,3,"sse","softplus","backprop",0.51,0.51,1,0.67
