num.char,hidden.structure,hidden.size,hidden.depth,err.fct,act.fct.name,algorithm,accuracy,precision,recall,f1
10,"5,1,4,3",13,4,sse,tanh,rprop+,0.72,0.9,0.5,0.64
10,"3,2",5,2,sse,tanh,rprop+,0.71,0.79,0.59,0.67
10,"4,2",6,2,sse,tanh,rprop+,0.73,0.81,0.61,0.69
10,"1,4",5,2,sse,tanh,rprop+,0.72,0.76,0.64,0.69
10,1,1,1,sse,tanh,rprop+,0.72,0.76,0.65,0.7
10,"5,2",7,2,sse,tanh,rprop+,0.72,0.78,0.63,0.7
10,"1,2,3,2",8,4,sse,tanh,rprop+,0.73,0.79,0.63,0.7
10,"1,4",5,2,sse,tanh,rprop+,0.73,0.79,0.62,0.7
10,"1,1",2,2,sse,tanh,rprop+,0.72,0.76,0.65,0.7
10,"3,2,1",6,3,sse,tanh,rprop+,0.73,0.81,0.62,0.7
10,2,2,1,sse,tanh,rprop+,0.73,0.8,0.63,0.7
10,"1,4,2,3",10,4,sse,tanh,rprop+,0.72,0.79,0.62,0.7
10,"5,4,4",13,3,sse,tanh,rprop+,0.73,0.81,0.61,0.7
10,"1,4",5,2,sse,tanh,rprop+,0.72,0.77,0.64,0.7
10,"1,1,2",4,3,sse,tanh,rprop+,0.72,0.77,0.64,0.7
10,"1,4,1",6,3,sse,tanh,rprop+,0.72,0.78,0.64,0.7
10,"1,1,4",6,3,sse,tanh,rprop+,0.72,0.76,0.65,0.7
10,"1,4,1",6,3,sse,tanh,rprop+,0.73,0.79,0.63,0.7
10,"1,5,2",8,3,sse,tanh,rprop+,0.72,0.78,0.64,0.7
10,"1,2,3,2",8,4,sse,tanh,rprop+,0.73,0.79,0.63,0.7
10,2,2,1,sse,tanh,rprop+,0.73,0.8,0.63,0.7
10,"3,2",5,2,sse,tanh,rprop+,0.74,0.84,0.6,0.7
10,1,1,1,sse,tanh,rprop+,0.72,0.76,0.65,0.7
10,"1,4",5,2,sse,tanh,rprop+,0.72,0.79,0.63,0.7
10,"1,4,1",6,3,sse,tanh,rprop+,0.72,0.78,0.63,0.7
10,"1,1,3",5,3,sse,tanh,rprop+,0.72,0.76,0.65,0.7
10,"1,2,5",8,3,sse,tanh,rprop+,0.73,0.79,0.63,0.7
10,4,4,1,sse,tanh,rprop+,0.72,0.75,0.67,0.71
10,"3,2",5,2,sse,tanh,rprop+,0.74,0.82,0.63,0.71
10,2,2,1,sse,tanh,rprop+,0.71,0.72,0.7,0.71
10,"4,1",5,2,sse,tanh,rprop+,0.74,0.82,0.62,0.71
10,"2,3,1",6,3,sse,tanh,rprop+,0.73,0.79,0.64,0.71
10,"1,4,5,3",13,4,sse,tanh,rprop+,0.72,0.76,0.66,0.71
10,"3,5",8,2,sse,tanh,rprop+,0.75,0.83,0.62,0.71
10,"4,1",5,2,sse,tanh,rprop+,0.73,0.78,0.65,0.71
10,"4,2",6,2,sse,tanh,rprop+,0.74,0.84,0.61,0.71
10,"4,2,4",10,3,sse,tanh,rprop+,0.74,0.81,0.64,0.71
10,"2,1,3,2",8,4,sse,tanh,rprop+,0.74,0.81,0.64,0.71
10,"3,1,1,3",8,4,sse,tanh,rprop+,0.74,0.8,0.64,0.71
10,"5,2",7,2,sse,tanh,rprop+,0.74,0.83,0.62,0.71
10,"3,5",8,2,sse,tanh,rprop+,0.73,0.8,0.63,0.71
10,"3,3,2",8,3,sse,tanh,rprop+,0.75,0.83,0.62,0.71
10,"3,2,4",9,3,sse,tanh,rprop+,0.73,0.78,0.65,0.71
10,"2,4",6,2,sse,tanh,rprop+,0.73,0.8,0.64,0.71
10,"3,5",8,2,sse,tanh,rprop+,0.72,0.74,0.69,0.71
10,"4,3,2",9,3,sse,tanh,rprop+,0.73,0.79,0.64,0.71
10,"2,3,1",6,3,sse,tanh,rprop+,0.74,0.79,0.65,0.71
10,"4,1,2",7,3,sse,tanh,rprop+,0.74,0.82,0.62,0.71
10,5,5,1,sse,tanh,rprop+,0.74,0.81,0.63,0.71
10,"4,2",6,2,sse,tanh,rprop+,0.74,0.8,0.64,0.71
10,"2,2",4,2,sse,tanh,rprop+,0.73,0.76,0.67,0.71
10,"3,4,3,2",12,4,sse,tanh,rprop+,0.73,0.78,0.65,0.71
10,"3,1",4,2,sse,tanh,rprop+,0.74,0.79,0.66,0.72
10,"3,2",5,2,sse,tanh,rprop+,0.75,0.81,0.65,0.72
10,"2,3",5,2,sse,tanh,rprop+,0.74,0.82,0.64,0.72
10,"2,4",6,2,sse,tanh,rprop+,0.73,0.76,0.69,0.72
10,4,4,1,sse,tanh,rprop+,0.75,0.82,0.64,0.72
10,"2,4",6,2,sse,tanh,rprop+,0.75,0.83,0.64,0.72
10,"4,4,3",11,3,sse,tanh,rprop+,0.75,0.82,0.64,0.72
10,"5,3",8,2,sse,tanh,rprop+,0.75,0.81,0.66,0.72
10,2,2,1,sse,tanh,rprop+,0.73,0.76,0.69,0.72
10,5,5,1,sse,tanh,rprop+,0.75,0.81,0.65,0.72
10,"2,2,3",7,3,sse,tanh,rprop+,0.73,0.75,0.68,0.72
10,"2,1",3,2,sse,tanh,rprop+,0.73,0.75,0.69,0.72
10,"2,4,5",11,3,sse,tanh,rprop+,0.73,0.76,0.68,0.72
10,"2,2",4,2,sse,tanh,rprop+,0.73,0.77,0.68,0.72
10,"2,3",5,2,sse,tanh,rprop+,0.73,0.77,0.67,0.72
10,"3,5",8,2,sse,tanh,rprop+,0.73,0.77,0.68,0.72
10,3,3,1,sse,tanh,rprop+,0.74,0.81,0.65,0.72
10,"2,2,2",6,3,sse,tanh,rprop+,0.74,0.82,0.64,0.72
10,"4,4",8,2,sse,tanh,rprop+,0.74,0.79,0.67,0.72
10,"3,4",7,2,sse,tanh,rprop+,0.75,0.83,0.63,0.72
10,"2,4,4",10,3,sse,tanh,rprop+,0.74,0.81,0.65,0.72
10,"2,3",5,2,sse,tanh,rprop+,0.73,0.76,0.69,0.72
10,"3,1,4",8,3,sse,tanh,rprop+,0.74,0.78,0.67,0.72
10,"2,2,2",6,3,sse,tanh,rprop+,0.75,0.83,0.64,0.72
10,"2,3,2",7,3,sse,tanh,rprop+,0.73,0.77,0.68,0.72
10,"2,4",6,2,sse,tanh,rprop+,0.75,0.82,0.64,0.72
10,"2,4,3",9,3,sse,tanh,rprop+,0.73,0.76,0.68,0.72
10,"2,3",5,2,sse,tanh,rprop+,0.74,0.8,0.65,0.72
10,"3,4",7,2,sse,tanh,rprop+,0.75,0.83,0.63,0.72
10,"3,3",6,2,sse,tanh,rprop+,0.75,0.83,0.64,0.73
10,5,5,1,sse,tanh,rprop+,0.75,0.8,0.66,0.73
10,"2,3,2",7,3,sse,tanh,rprop+,0.74,0.78,0.68,0.73
