num.char,hidden.structure,hidden.size,hidden.depth,err.fct,act.fct.name,algorithm,accuracy,precision,recall,f1
1000,1,1,1,sse,softplus,rprop+,0.93,0.95,0.75,0.84
1000,1,1,1,sse,softplus,rprop+,0.93,0.95,0.75,0.84
1000,"1,4",5,2,sse,softplus,rprop+,0.95,0.96,0.81,0.88
1000,2,2,1,sse,softplus,rprop+,0.95,0.97,0.82,0.89
1000,2,2,1,sse,softplus,rprop+,0.95,0.97,0.82,0.89
1000,"2,1",3,2,sse,softplus,rprop+,0.95,0.97,0.82,0.89
1000,2,2,1,sse,softplus,rprop+,0.95,0.97,0.82,0.89
1000,"2,2",4,2,sse,softplus,rprop+,0.95,0.97,0.82,0.89
1000,"1,4,2,3",10,4,sse,softplus,rprop+,0.95,0.96,0.83,0.89
1000,"1,4",5,2,sse,softplus,rprop+,0.95,0.97,0.82,0.89
1000,"4,1",5,2,sse,softplus,rprop+,0.95,0.97,0.82,0.89
1000,"1,1,2",4,3,sse,softplus,rprop+,0.95,0.97,0.82,0.89
1000,"1,4,1",6,3,sse,softplus,rprop+,0.95,0.96,0.82,0.89
1000,"1,5,2",8,3,sse,softplus,rprop+,0.95,0.96,0.83,0.89
1000,2,2,1,sse,softplus,rprop+,0.95,0.97,0.82,0.89
1000,"1,1,3",5,3,sse,softplus,rprop+,0.95,0.97,0.82,0.89
1000,"1,2,5",8,3,sse,softplus,rprop+,0.95,0.97,0.82,0.89
1000,"2,2,4",8,3,sse,softplus,rprop+,0.95,0.96,0.84,0.9
1000,"2,4,4",10,3,sse,softplus,rprop+,0.96,0.97,0.85,0.9
1000,"1,4,5,3",13,4,sse,softplus,rprop+,0.96,0.94,0.88,0.91
1000,"1,2,3,2",8,4,sse,softplus,rprop+,0.96,0.94,0.88,0.91
1000,"1,1",2,2,sse,softplus,rprop+,0.96,0.94,0.88,0.91
1000,"1,4,1",6,3,sse,softplus,rprop+,0.96,0.94,0.88,0.91
