"num.char","hidden.structure","hidden.size","hidden.depth","err.fct","act.fct.name","algorithm","accuracy","precision","recall","f1"
10,"3,2",5,2,"sse","tanh","backprop",0.49,NA,0,NA
10,"3,1",4,2,"sse","tanh","backprop",0.49,NA,0,NA
10,"3,2",5,2,"sse","tanh","backprop",0.49,NA,0,NA
10,"4",4,1,"sse","tanh","backprop",0.49,NA,0,NA
10,"2,3",5,2,"sse","tanh","backprop",0.49,NA,0,NA
10,"2,4",6,2,"sse","tanh","backprop",0.49,NA,0,NA
10,"1",1,1,"sse","tanh","backprop",0.49,NA,0,NA
10,"3,2",5,2,"sse","tanh","backprop",0.49,NA,0,NA
10,"2",2,1,"sse","tanh","backprop",0.69,0.91,0.44,0.59
10,"4,3,1,4",12,4,"sse","tanh","backprop",0.49,NA,0,NA
10,"5,2",7,2,"sse","tanh","backprop",0.49,NA,0,NA
10,"4",4,1,"sse","tanh","backprop",0.49,NA,0,NA
10,"3,4,2",9,3,"sse","tanh","backprop",0.49,NA,0,NA
10,"2,4",6,2,"sse","tanh","backprop",0.35,0.42,0.69,0.52
10,"4,2,4",10,3,"sse","tanh","backprop",0.49,NA,0,NA
10,"4,1",5,2,"sse","tanh","backprop",0.51,0.51,1,0.67
10,"4,2",6,2,"sse","tanh","backprop",0.51,0.51,1,0.67
10,"2,3,1",6,3,"sse","tanh","backprop",0.51,0.51,1,0.67
10,"1,4,5,3",13,4,"sse","tanh","backprop",0.51,0.51,1,0.67
10,"1,2,3,2",8,4,"sse","tanh","backprop",0.51,0.51,1,0.67
10,"4,4,3",11,3,"sse","tanh","backprop",0.31,0.28,0.23,0.25
10,"4,3,5",12,3,"sse","tanh","backprop",0.31,0.38,0.58,0.46
10,"5,3",8,2,"sse","tanh","backprop",0.7,0.93,0.44,0.6
10,"2",2,1,"sse","tanh","backprop",0.49,NA,0,NA
10,"5",5,1,"sse","tanh","backprop",0.54,0.8,0.13,0.22
10,"3,5",8,2,"sse","tanh","backprop",0.49,NA,0,NA
10,"2,2,3",7,3,"sse","tanh","backprop",0.49,NA,0,NA
10,"1,4",5,2,"sse","tanh","backprop",0.49,NA,0,NA
10,"1,1",2,2,"sse","tanh","backprop",0.49,NA,0,NA
10,"2,1",3,2,"sse","tanh","backprop",0.51,0.51,1,0.67
