"k","precision","recall","f1"
1,0.893617021276596,0.976744186046512,0.933333333333333
2,0.891304347826087,0.953488372093023,0.921348314606742
3,0.911111111111111,0.953488372093023,0.931818181818182
4,0.930232558139535,0.930232558139535,0.930232558139535
5,0.931818181818182,0.953488372093023,0.942528735632184
6,0.930232558139535,0.930232558139535,0.930232558139535
7,0.931818181818182,0.953488372093023,0.942528735632184
8,0.931818181818182,0.953488372093023,0.942528735632184
9,0.909090909090909,0.930232558139535,0.919540229885057
10,0.909090909090909,0.930232558139535,0.919540229885057
