"filename","subcorpus","code","huni.chars","hrate.chars","huni.strings","hrate.strings","ttr.chars","ttr.strings","rm.chars"
"random_ran_10","random","ran_10",3.31617083626537,2.93214541388137,6.12997872718319,4.8161290021407,0.01,0.89247311827957,0.101010101010101
"random_ran_11","random","ran_11",3.44791420453699,2.99928041052955,6.130416151741,4.77267916200335,0.011,0.888888888888889,0.109201213346815
"random_ran_12","random","ran_12",3.5760528633835,3.06402886940233,6.16856491268952,4.83365658894331,0.012,0.875,0.090080971659919
"random_ran_13","random","ran_13",3.6932327802063,3.0815768869114,6.02643884482632,4.60423738546247,0.013,0.943661971830986,0.0871327254305978
"random_ran_14","random","ran_14",3.79765212850385,3.1557602204367,5.99986181151642,4.62625666037136,0.014,0.932432432432432,0.0720081135902637
"random_ran_15","random","ran_15",3.90240073132199,3.17885369749321,5.84375,4.41075492218777,0.015,0.9375,0.065989847715736
"random_ran_16","random","ran_16",3.99153284707049,3.23105073139699,5.87750457648101,4.45271190886613,0.016,0.967741935483871,0.0599593495934959
"random_ran_17","random","ran_17",4.07961539480609,3.26607800722213,5.60003991358552,4.23260658927241,0.017,0.928571428571429,0.0661241098677518
"random_ran_18","random","ran_18",4.16184944740067,3.31975240639481,5.66535159882685,4.35176948852656,0.018,0.904761904761905,0.0692464358452139
"random_ran_19","random","ran_19",4.23023888975198,3.34662728974284,5.6724253419715,4.25785975678908,0.019,1,0.0489296636085627
"random_ran_2","random","ran_2",0.99971144175281,3.14690115544217,1.94372599276004,1.75709186991478,0.002,0.0176125244618395,0.48997995991984
"random_ran_20","random","ran_20",4.30348527453448,3.3715126053872,5.45342103248267,4.0484632119325,0.02,0.957446808510638,0.05
"random_ran_21","random","ran_21",4.38353094669677,3.43141430270562,5.48590234442608,4.08095199476171,0.021,0.958333333333333,0.0449438202247191
"random_ran_22","random","ran_22",4.44619046159155,3.50729953830064,5.6724253419715,4.31138359618748,0.022,1,0.0449897750511247
"random_ran_23","random","ran_23",4.51144763034958,3.51504682815727,5.03168708302644,3.73804854397472,0.023,0.9,0.0460593654042989
"random_ran_24","random","ran_24",4.56944289398725,3.56539007910758,5.54875843973146,4.13474861656237,0.024,0.96,0.0430327868852459
"random_ran_25","random","ran_25",4.62894742704288,3.55684983189305,5.03784479304888,3.68724025181433,0.025,0.944444444444444,0.0338461538461538
"random_ran_26","random","ran_26",4.67932525306915,3.62235653222136,5.1553993115749,3.76092372939978,0.026,0.972972972972973,0.0492813141683778
"random_ran_27","random","ran_27",4.73861032478681,3.6709663184667,5.12928301694497,3.79784010371183,0.027,1,0.025693730729702
"random_ran_28","random","ran_28",4.78464152302092,3.67123988773619,5.04439411935845,3.66072667608151,0.028,1,0.0349794238683128
"random_ran_29","random","ran_29",4.83425808912845,3.73535621557396,5.1227988949656,3.78517061143674,0.029,0.947368421052632,0.0411946446961895
"random_ran_3","random","ran_3",1.58369093725177,3.0287045355398,4.17450455483988,3.38717005461943,0.003,0.214285714285714,0.310932798395186
"random_ran_30","random","ran_30",4.89042903410982,3.75724007925919,5.52356195605701,4.16978305820221,0.03,1,0.0360824742268041
